-- theJF's quest pack list, shamelessly derived from the tireless efforts of Jay_H!

-- name:        filename of QRC txt file
-- group:       guild group from FactionFile.GuildGroups enum, or social group from FactionFile.SocialGroups enum
-- membership:  N=non-member, M=member, P=prospect, T=Akatosh, A=Arkay, D=Dibella, J=Julianos, K=Kynareth, R=Mara, S=Stendarr, Z=Zenithar
-- minReq:      minimum requirement to be offered the quest: (val < 10) = guild rank / player level, or (val >= 10) = min reputation
-- flag:        0 = nothing, X = adult/nudity, 1 = one time quest
-- notes:

schema: *name, group, membership, minReq, flag, notes

JF000001, FightersGuild, M, 2, 0, kill a bandit gang and then hunt down their captain
JF000002, FightersGuild, M, 3, 0, find a thief in the fighter's guild and wack 'em
JF000003, FightersGuild, M, 2, 0, runaround for delivering ransom to kidnapper dirty harry style
JF000004, MagesGuild, M, 1, 0, kill a renegade mage who is cloning himself. Vigourously.
JF000005, MagesGuild, M, 1, 0, tiresome hunt through 3 dungeons! you love it...
JF000006, MagesGuild, M, 1, 0, join up with the fighters guild to scam innocent townsfolk!
JF000007, HolyOrder, N, 1, 0, purify a shrine
JF000008, FightersGuild, M, 1, 0, asdasdasd
JF000009, HolyOrder, M, 1, 0, asdasdasd
